user_id,recency,frequency,monetary,tenure_days,avg_session_duration_min,total_page_views,cart_add_count,wishlist_count,coupon_usage_count,days_since_last_login,days_since_last_purchase,days_since_last_cart,avg_purchase_value,monthly_purchase_frequency,days_per_purchase,cart_conversion_rate,browse_to_buy_rate,customer_segment,preferred_category,registration_channel,age_group,city_tier,device_type,member_level,churn_risk_level,churned
U000001,56,71,11558.57,156,13.4,39,16,3,6,297,56,249,162.8,13.65,2.2,4.438,18.205,沉睡客户,运动户外,Web,26-35,一线城市,Web,VIP,低风险,0
U000002,199,41,12172.24,679,27.9,161,44,18,4,289,199,290,296.88,1.81,16.6,0.932,2.547,沉睡客户,运动户外,线下门店,26-35,一线城市,Web,VIP,中风险,1
U000003,227,56,6953.16,743,6.5,380,21,28,15,236,227,228,124.16,2.26,13.3,2.667,1.474,沉睡客户,图书音像,线下门店,55+,一线城市,Android,金卡,中风险,1
U000004,84,36,21474.91,293,40.2,105,16,23,20,39,84,38,596.53,3.69,8.1,2.25,3.429,新客户,电子产品,社交电商,55+,三线城市,Android,VIP,低风险,0
U000005,267,70,22354.95,973,29.6,81,23,12,7,301,267,148,319.36,2.16,13.9,3.043,8.642,活跃客户,母婴用品,社交电商,55+,一线城市,其他,VIP,中风险,1
U000006,11,31,21207.15,346,34.2,76,28,5,5,289,11,289,684.1,2.69,11.2,1.107,4.079,VIP客户,食品饮料,H5,46-55,二线城市,iOS,VIP,低风险,0
U000007,500,30,1618.39,763,10.9,347,13,16,11,198,500,240,53.95,1.18,25.4,2.308,0.865,流失客户,电子产品,APP,36-45,一线城市,Web,铜卡,中风险,0
U000008,270,75,13631.53,363,17.3,198,23,18,20,39,270,264,181.75,6.2,4.8,3.261,3.788,沉睡客户,美妆个护,Web,55+,三线城市,Web,VIP,低风险,0
U000009,354,63,19826.8,20,22.8,76,28,5,7,39,354,263,314.71,94.5,0.3,2.25,8.289,VIP客户,图书音像,Web,26-35,新一线城市,Android,VIP,中风险,1
U000010,122,30,10394.61,683,32.6,251,43,15,15,107,122,302,346.49,1.32,22.8,0.698,1.195,活跃客户,美妆个护,APP,26-35,一线城市,Android,VIP,中风险,0
