InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,Discount,TotalAmount
INV000867,P0003,移动电源,3,2023-01-02 00:00:00,543.87,C00086,China,电子产品,0,1631.6
INV000868,P0009,坚果礼盒,1,2023-01-02 00:00:00,360.77,C00086,China,食品饮料,44.75,316.02
INV001086,P0010,茶叶,1,2023-01-02 00:00:00,121.53,C00118,China,食品饮料,0,121.53
INV001217,P0004,男士衬衫,3,2023-01-02 00:00:00,172.86,C00135,China,服装鞋帽,0,518.58
INV001483,P0004,男士衬衫,3,2023-01-02 00:00:00,454.76,C00160,China,服装鞋帽,78.02,1286.26
INV001484,P0018,蓝牙音箱,3,2023-01-02 00:00:00,404.34,C00160,China,电子产品,0,1213.02
INV001485,P0019,智能手表,4,2023-01-02 00:00:00,1910.18,C00160,China,电子产品,0,7640.73
INV002378,P0014,沙发,4,2023-01-02 00:00:00,2728.0,C00243,China,家居家装,0,10911.98
INV002379,P0013,床上四件套,4,2023-01-02 00:00:00,397.12,C00243,China,家居家装,0,1588.46
INV002380,P0017,商业分析书,4,2023-01-02 00:00:00,100.83,C00243,China,图书音像,0,403.32
INV002381,P0006,运动鞋,3,2023-01-02 00:00:00,616.66,C00243,China,服装鞋帽,65.08,1784.89
INV002559,P0000,手机,3,2023-01-02 00:00:00,2126.9,C00267,China,电子产品,0,6380.69
INV002560,P0006,运动鞋,4,2023-01-02 00:00:00,353.35,C00267,China,服装鞋帽,0,1413.4
INV002561,P0005,女士连衣裙,4,2023-01-02 00:00:00,230.04,C00267,China,服装鞋帽,28.47,891.7
INV000496,P0014,沙发,1,2023-01-03 00:00:00,3698.83,C00053,China,家居家装,0,3698.83
INV001061,P0017,商业分析书,3,2023-01-03 00:00:00,76.15,C00111,China,图书音像,0,228.44
INV001987,P0000,手机,2,2023-01-03 00:00:00,2935.42,C00202,China,电子产品,0,5870.85
INV001988,P0010,茶叶,4,2023-01-03 00:00:00,119.12,C00202,China,食品饮料,0,476.48
